"Month","Year","State","Indicator","Value"
"Jun",2021,"Ohio","Symptoms of Anxiety Disorder",25.4
"Mar",2021,"Ohio","Symptoms of Anxiety Disorder",31.3666666666667
"May",2021,"Ohio","Symptoms of Anxiety Disorder",25.1
"Oct",2021,"Ohio","Symptoms of Anxiety Disorder",23
"Sep",2021,"Ohio","Symptoms of Anxiety Disorder",26.85
"Apr",2022,"Ohio","Symptoms of Anxiety Disorder",25.1
"Aug",2022,"Ohio","Symptoms of Anxiety Disorder",28.7
"Dec",2022,"Ohio","Symptoms of Anxiety Disorder",28
"Feb",2022,"Ohio","Symptoms of Anxiety Disorder",23.1
"Jan",2022,"Ohio","Symptoms of Anxiety Disorder",28
"Jul",2022,"Ohio","Symptoms of Anxiety Disorder",23.2
"Jun",2022,"Ohio","Symptoms of Anxiety Disorder",29.7
"Mar",2022,"Ohio","Symptoms of Anxiety Disorder",29.8
"May",2022,"Ohio","Symptoms of Anxiety Disorder",24
"Nov",2022,"Ohio","Symptoms of Anxiety Disorder",33.4
"Oct",2022,"Ohio","Symptoms of Anxiety Disorder",27.7
"Sep",2022,"Ohio","Symptoms of Anxiety Disorder",31.6
"Aug",2020,"Oklahoma","Symptoms of Anxiety Disorder",34
"Dec",2020,"Oklahoma","Symptoms of Anxiety Disorder",41.45
"Jul",2020,"Oklahoma","Symptoms of Anxiety Disorder",39.7
"Jun",2020,"Oklahoma","Symptoms of Anxiety Disorder",33.4
"May",2020,"Oklahoma","Symptoms of Anxiety Disorder",27.075
"Nov",2020,"Oklahoma","Symptoms of Anxiety Disorder",41
"Oct",2020,"Oklahoma","Symptoms of Anxiety Disorder",34.35
"Sep",2020,"Oklahoma","Symptoms of Anxiety Disorder",31.85
"Apr",2021,"Oklahoma","Symptoms of Anxiety Disorder",23.5
"Aug",2021,"Oklahoma","Symptoms of Anxiety Disorder",33.8333333333333
"Dec",2021,"Oklahoma","Symptoms of Anxiety Disorder",34.2
"Feb",2021,"Oklahoma","Symptoms of Anxiety Disorder",38.25
"Jan",2021,"Oklahoma","Symptoms of Anxiety Disorder",37.8
"Jul",2021,"Oklahoma","Symptoms of Anxiety Disorder",33.5
"Jun",2021,"Oklahoma","Symptoms of Anxiety Disorder",31.1
"Mar",2021,"Oklahoma","Symptoms of Anxiety Disorder",34.7
"May",2021,"Oklahoma","Symptoms of Anxiety Disorder",29.35
"Oct",2021,"Oklahoma","Symptoms of Anxiety Disorder",31.9
"Sep",2021,"Oklahoma","Symptoms of Anxiety Disorder",31.75
"Apr",2022,"Oklahoma","Symptoms of Anxiety Disorder",32.2
"Aug",2022,"Oklahoma","Symptoms of Anxiety Disorder",31.1
"Dec",2022,"Oklahoma","Symptoms of Anxiety Disorder",32.5
"Feb",2022,"Oklahoma","Symptoms of Anxiety Disorder",29.9
"Jan",2022,"Oklahoma","Symptoms of Anxiety Disorder",32.2
"Jul",2022,"Oklahoma","Symptoms of Anxiety Disorder",37.5
"Jun",2022,"Oklahoma","Symptoms of Anxiety Disorder",31
"Mar",2022,"Oklahoma","Symptoms of Anxiety Disorder",32.2
"May",2022,"Oklahoma","Symptoms of Anxiety Disorder",31.4
"Nov",2022,"Oklahoma","Symptoms of Anxiety Disorder",33.5
"Oct",2022,"Oklahoma","Symptoms of Anxiety Disorder",36
"Sep",2022,"Oklahoma","Symptoms of Anxiety Disorder",37.5
"Aug",2020,"Oregon","Symptoms of Anxiety Disorder",34.8
"Dec",2020,"Oregon","Symptoms of Anxiety Disorder",40.1
"Jul",2020,"Oregon","Symptoms of Anxiety Disorder",39.8
"Jun",2020,"Oregon","Symptoms of Anxiety Disorder",36.26
"May",2020,"Oregon","Symptoms of Anxiety Disorder",28.5
"Nov",2020,"Oregon","Symptoms of Anxiety Disorder",39.6
"Oct",2020,"Oregon","Symptoms of Anxiety Disorder",35.85
"Sep",2020,"Oregon","Symptoms of Anxiety Disorder",39
"Apr",2021,"Oregon","Symptoms of Anxiety Disorder",29.6
"Aug",2021,"Oregon","Symptoms of Anxiety Disorder",28.4666666666667
"Dec",2021,"Oregon","Symptoms of Anxiety Disorder",31.1
"Feb",2021,"Oregon","Symptoms of Anxiety Disorder",38.15
"Jan",2021,"Oregon","Symptoms of Anxiety Disorder",39.2
"Jul",2021,"Oregon","Symptoms of Anxiety Disorder",32.6
"Jun",2021,"Oregon","Symptoms of Anxiety Disorder",27
"Mar",2021,"Oregon","Symptoms of Anxiety Disorder",34.0666666666667
"May",2021,"Oregon","Symptoms of Anxiety Disorder",27.85
"Oct",2021,"Oregon","Symptoms of Anxiety Disorder",30.6
"Sep",2021,"Oregon","Symptoms of Anxiety Disorder",32.7
"Apr",2022,"Oregon","Symptoms of Anxiety Disorder",31.8
"Aug",2022,"Oregon","Symptoms of Anxiety Disorder",24.8
"Dec",2022,"Oregon","Symptoms of Anxiety Disorder",31.4
"Feb",2022,"Oregon","Symptoms of Anxiety Disorder",32
"Jan",2022,"Oregon","Symptoms of Anxiety Disorder",32
"Jul",2022,"Oregon","Symptoms of Anxiety Disorder",30.1
"Jun",2022,"Oregon","Symptoms of Anxiety Disorder",29.5
"Mar",2022,"Oregon","Symptoms of Anxiety Disorder",30.1
"May",2022,"Oregon","Symptoms of Anxiety Disorder",28.8
"Nov",2022,"Oregon","Symptoms of Anxiety Disorder",30.9
"Oct",2022,"Oregon","Symptoms of Anxiety Disorder",31.1
"Sep",2022,"Oregon","Symptoms of Anxiety Disorder",33.9
"Aug",2020,"Pennsylvania","Symptoms of Anxiety Disorder",31
"Dec",2020,"Pennsylvania","Symptoms of Anxiety Disorder",36.1
"Jul",2020,"Pennsylvania","Symptoms of Anxiety Disorder",32.2
"Jun",2020,"Pennsylvania","Symptoms of Anxiety Disorder",31.02
"May",2020,"Pennsylvania","Symptoms of Anxiety Disorder",28.3
"Nov",2020,"Pennsylvania","Symptoms of Anxiety Disorder",35.5
"Oct",2020,"Pennsylvania","Symptoms of Anxiety Disorder",32.1
"Sep",2020,"Pennsylvania","Symptoms of Anxiety Disorder",30.25
"Apr",2021,"Pennsylvania","Symptoms of Anxiety Disorder",24.8
"Aug",2021,"Pennsylvania","Symptoms of Anxiety Disorder",27.2333333333333
"Dec",2021,"Pennsylvania","Symptoms of Anxiety Disorder",26
"Feb",2021,"Pennsylvania","Symptoms of Anxiety Disorder",32.4
"Jan",2021,"Pennsylvania","Symptoms of Anxiety Disorder",34.6
"Jul",2021,"Pennsylvania","Symptoms of Anxiety Disorder",22.5
"Jun",2021,"Pennsylvania","Symptoms of Anxiety Disorder",25.35
"Mar",2021,"Pennsylvania","Symptoms of Anxiety Disorder",31.8333333333333
"May",2021,"Pennsylvania","Symptoms of Anxiety Disorder",25.55
"Oct",2021,"Pennsylvania","Symptoms of Anxiety Disorder",31
"Sep",2021,"Pennsylvania","Symptoms of Anxiety Disorder",26.4
"Apr",2022,"Pennsylvania","Symptoms of Anxiety Disorder",25.7
"Aug",2022,"Pennsylvania","Symptoms of Anxiety Disorder",31.5
"Dec",2022,"Pennsylvania","Symptoms of Anxiety Disorder",28.8
"Feb",2022,"Pennsylvania","Symptoms of Anxiety Disorder",27
"Jan",2022,"Pennsylvania","Symptoms of Anxiety Disorder",25.5
"Jul",2022,"Pennsylvania","Symptoms of Anxiety Disorder",29.4
"Jun",2022,"Pennsylvania","Symptoms of Anxiety Disorder",25.5
"Mar",2022,"Pennsylvania","Symptoms of Anxiety Disorder",30.4
"May",2022,"Pennsylvania","Symptoms of Anxiety Disorder",27.9
"Nov",2022,"Pennsylvania","Symptoms of Anxiety Disorder",34
"Oct",2022,"Pennsylvania","Symptoms of Anxiety Disorder",30.7
"Sep",2022,"Pennsylvania","Symptoms of Anxiety Disorder",30.2
"Aug",2020,"Rhode Island","Symptoms of Anxiety Disorder",29.9
"Dec",2020,"Rhode Island","Symptoms of Anxiety Disorder",35.15
"Jul",2020,"Rhode Island","Symptoms of Anxiety Disorder",36.5666666666667
"Jun",2020,"Rhode Island","Symptoms of Anxiety Disorder",28
"May",2020,"Rhode Island","Symptoms of Anxiety Disorder",27.25
"Nov",2020,"Rhode Island","Symptoms of Anxiety Disorder",38.2
"Oct",2020,"Rhode Island","Symptoms of Anxiety Disorder",32.55
"Sep",2020,"Rhode Island","Symptoms of Anxiety Disorder",32.25
"Apr",2021,"Rhode Island","Symptoms of Anxiety Disorder",23
"Aug",2021,"Rhode Island","Symptoms of Anxiety Disorder",25.3666666666667
"Dec",2021,"Rhode Island","Symptoms of Anxiety Disorder",25.9
"Feb",2021,"Rhode Island","Symptoms of Anxiety Disorder",33.2
"Jan",2021,"Rhode Island","Symptoms of Anxiety Disorder",39.4
"Jul",2021,"Rhode Island","Symptoms of Anxiety Disorder",19.1
"Jun",2021,"Rhode Island","Symptoms of Anxiety Disorder",25.15
"Mar",2021,"Rhode Island","Symptoms of Anxiety Disorder",33.4666666666667
"May",2021,"Rhode Island","Symptoms of Anxiety Disorder",20.9
"Oct",2021,"Rhode Island","Symptoms of Anxiety Disorder",34.4
"Sep",2021,"Rhode Island","Symptoms of Anxiety Disorder",27.1
"Apr",2022,"Rhode Island","Symptoms of Anxiety Disorder",22.5
"Aug",2022,"Rhode Island","Symptoms of Anxiety Disorder",29.9
"Dec",2022,"Rhode Island","Symptoms of Anxiety Disorder",30.7
"Feb",2022,"Rhode Island","Symptoms of Anxiety Disorder",25.4
"Jan",2022,"Rhode Island","Symptoms of Anxiety Disorder",32.3
"Jul",2022,"Rhode Island","Symptoms of Anxiety Disorder",32.5
"Jun",2022,"Rhode Island","Symptoms of Anxiety Disorder",29
"Mar",2022,"Rhode Island","Symptoms of Anxiety Disorder",24.1
"May",2022,"Rhode Island","Symptoms of Anxiety Disorder",22.1
"Nov",2022,"Rhode Island","Symptoms of Anxiety Disorder",28.2
"Oct",2022,"Rhode Island","Symptoms of Anxiety Disorder",33.8
"Sep",2022,"Rhode Island","Symptoms of Anxiety Disorder",27.2
"Aug",2020,"South Carolina","Symptoms of Anxiety Disorder",24.5
"Dec",2020,"South Carolina","Symptoms of Anxiety Disorder",33.8
"Jul",2020,"South Carolina","Symptoms of Anxiety Disorder",32.6
"Jun",2020,"South Carolina","Symptoms of Anxiety Disorder",29.98
"May",2020,"South Carolina","Symptoms of Anxiety Disorder",27.8
"Nov",2020,"South Carolina","Symptoms of Anxiety Disorder",36.85
"Oct",2020,"South Carolina","Symptoms of Anxiety Disorder",30.55
"Sep",2020,"South Carolina","Symptoms of Anxiety Disorder",29.75
"Apr",2021,"South Carolina","Symptoms of Anxiety Disorder",24.9
"Aug",2021,"South Carolina","Symptoms of Anxiety Disorder",26.5333333333333
"Dec",2021,"South Carolina","Symptoms of Anxiety Disorder",23
"Feb",2021,"South Carolina","Symptoms of Anxiety Disorder",33.75
"Jan",2021,"South Carolina","Symptoms of Anxiety Disorder",35.9
"Jul",2021,"South Carolina","Symptoms of Anxiety Disorder",28
"Jun",2021,"South Carolina","Symptoms of Anxiety Disorder",25.75
"Mar",2021,"South Carolina","Symptoms of Anxiety Disorder",27.2666666666667
"May",2021,"South Carolina","Symptoms of Anxiety Disorder",26.85
"Oct",2021,"South Carolina","Symptoms of Anxiety Disorder",26.5
"Sep",2021,"South Carolina","Symptoms of Anxiety Disorder",24.9
"Apr",2022,"South Carolina","Symptoms of Anxiety Disorder",22.6
"Aug",2022,"South Carolina","Symptoms of Anxiety Disorder",22
"Dec",2022,"South Carolina","Symptoms of Anxiety Disorder",31.9
"Feb",2022,"South Carolina","Symptoms of Anxiety Disorder",26
"Jan",2022,"South Carolina","Symptoms of Anxiety Disorder",26.5
"Jul",2022,"South Carolina","Symptoms of Anxiety Disorder",26.4
"Jun",2022,"South Carolina","Symptoms of Anxiety Disorder",33.6
"Mar",2022,"South Carolina","Symptoms of Anxiety Disorder",23.1
"May",2022,"South Carolina","Symptoms of Anxiety Disorder",27
"Nov",2022,"South Carolina","Symptoms of Anxiety Disorder",26.1
"Oct",2022,"South Carolina","Symptoms of Anxiety Disorder",33.9
"Sep",2022,"South Carolina","Symptoms of Anxiety Disorder",31.9
"Aug",2020,"South Dakota","Symptoms of Anxiety Disorder",20.9
"Dec",2020,"South Dakota","Symptoms of Anxiety Disorder",27.9
"Jul",2020,"South Dakota","Symptoms of Anxiety Disorder",30.5
"Jun",2020,"South Dakota","Symptoms of Anxiety Disorder",26.4
"May",2020,"South Dakota","Symptoms of Anxiety Disorder",25.225
"Nov",2020,"South Dakota","Symptoms of Anxiety Disorder",31.65
"Oct",2020,"South Dakota","Symptoms of Anxiety Disorder",25.55
"Sep",2020,"South Dakota","Symptoms of Anxiety Disorder",23.6
"Apr",2021,"South Dakota","Symptoms of Anxiety Disorder",22.2
"Aug",2021,"South Dakota","Symptoms of Anxiety Disorder",21.6333333333333
"Dec",2021,"South Dakota","Symptoms of Anxiety Disorder",20.6
"Feb",2021,"South Dakota","Symptoms of Anxiety Disorder",27.7
"Jan",2021,"South Dakota","Symptoms of Anxiety Disorder",29.2
"Jul",2021,"South Dakota","Symptoms of Anxiety Disorder",21.7
"Jun",2021,"South Dakota","Symptoms of Anxiety Disorder",19.2
"Mar",2021,"South Dakota","Symptoms of Anxiety Disorder",23.0333333333333
"May",2021,"South Dakota","Symptoms of Anxiety Disorder",20.1
"Oct",2021,"South Dakota","Symptoms of Anxiety Disorder",21.7
"Sep",2021,"South Dakota","Symptoms of Anxiety Disorder",18.55
"Apr",2022,"South Dakota","Symptoms of Anxiety Disorder",25.8
"Aug",2022,"South Dakota","Symptoms of Anxiety Disorder",22
"Dec",2022,"South Dakota","Symptoms of Anxiety Disorder",19.6
"Feb",2022,"South Dakota","Symptoms of Anxiety Disorder",23.8
"Jan",2022,"South Dakota","Symptoms of Anxiety Disorder",24.7
"Jul",2022,"South Dakota","Symptoms of Anxiety Disorder",23.6
"Jun",2022,"South Dakota","Symptoms of Anxiety Disorder",24.4
"Mar",2022,"South Dakota","Symptoms of Anxiety Disorder",25.5
"May",2022,"South Dakota","Symptoms of Anxiety Disorder",16.3
"Nov",2022,"South Dakota","Symptoms of Anxiety Disorder",29.4
"Oct",2022,"South Dakota","Symptoms of Anxiety Disorder",27
"Sep",2022,"South Dakota","Symptoms of Anxiety Disorder",30.4
"Aug",2020,"Tennessee","Symptoms of Anxiety Disorder",34.8
"Dec",2020,"Tennessee","Symptoms of Anxiety Disorder",35.2
"Jul",2020,"Tennessee","Symptoms of Anxiety Disorder",37.6333333333333
"Jun",2020,"Tennessee","Symptoms of Anxiety Disorder",31.62
"May",2020,"Tennessee","Symptoms of Anxiety Disorder",28.05
"Nov",2020,"Tennessee","Symptoms of Anxiety Disorder",35.35
"Oct",2020,"Tennessee","Symptoms of Anxiety Disorder",31.35
"Sep",2020,"Tennessee","Symptoms of Anxiety Disorder",29.05
"Apr",2021,"Tennessee","Symptoms of Anxiety Disorder",26.8
"Aug",2021,"Tennessee","Symptoms of Anxiety Disorder",29.5666666666667
"Dec",2021,"Tennessee","Symptoms of Anxiety Disorder",26.8
"Feb",2021,"Tennessee","Symptoms of Anxiety Disorder",37
"Jan",2021,"Tennessee","Symptoms of Anxiety Disorder",34.4
"Jul",2021,"Tennessee","Symptoms of Anxiety Disorder",26.6
"Jun",2021,"Tennessee","Symptoms of Anxiety Disorder",26
"Mar",2021,"Tennessee","Symptoms of Anxiety Disorder",33.3
"May",2021,"Tennessee","Symptoms of Anxiety Disorder",26.05
"Oct",2021,"Tennessee","Symptoms of Anxiety Disorder",29
"Sep",2021,"Tennessee","Symptoms of Anxiety Disorder",33.35
"Apr",2022,"Tennessee","Symptoms of Anxiety Disorder",27.7
"Aug",2022,"Tennessee","Symptoms of Anxiety Disorder",27.5
"Dec",2022,"Tennessee","Symptoms of Anxiety Disorder",30.1
"Feb",2022,"Tennessee","Symptoms of Anxiety Disorder",29
"Jan",2022,"Tennessee","Symptoms of Anxiety Disorder",27.5
"Jul",2022,"Tennessee","Symptoms of Anxiety Disorder",30.1
"Jun",2022,"Tennessee","Symptoms of Anxiety Disorder",32.9
"Mar",2022,"Tennessee","Symptoms of Anxiety Disorder",24.3
"May",2022,"Tennessee","Symptoms of Anxiety Disorder",27.6
"Nov",2022,"Tennessee","Symptoms of Anxiety Disorder",33.3
"Oct",2022,"Tennessee","Symptoms of Anxiety Disorder",32.1
"Sep",2022,"Tennessee","Symptoms of Anxiety Disorder",34
"Aug",2020,"Texas","Symptoms of Anxiety Disorder",31.1
"Dec",2020,"Texas","Symptoms of Anxiety Disorder",38.4
"Jul",2020,"Texas","Symptoms of Anxiety Disorder",38.3666666666667
"Jun",2020,"Texas","Symptoms of Anxiety Disorder",33.52
"May",2020,"Texas","Symptoms of Anxiety Disorder",30.875
"Nov",2020,"Texas","Symptoms of Anxiety Disorder",39.75
"Oct",2020,"Texas","Symptoms of Anxiety Disorder",33.95
"Sep",2020,"Texas","Symptoms of Anxiety Disorder",32.9
"Apr",2021,"Texas","Symptoms of Anxiety Disorder",30.9
"Aug",2021,"Texas","Symptoms of Anxiety Disorder",30.2
"Dec",2021,"Texas","Symptoms of Anxiety Disorder",24.9
"Feb",2021,"Texas","Symptoms of Anxiety Disorder",36.65
"Jan",2021,"Texas","Symptoms of Anxiety Disorder",33.9
"Jul",2021,"Texas","Symptoms of Anxiety Disorder",26.8
"Jun",2021,"Texas","Symptoms of Anxiety Disorder",27.05
"Mar",2021,"Texas","Symptoms of Anxiety Disorder",31.9666666666667
"May",2021,"Texas","Symptoms of Anxiety Disorder",27.4
"Oct",2021,"Texas","Symptoms of Anxiety Disorder",28.6
"Sep",2021,"Texas","Symptoms of Anxiety Disorder",29.3
"Apr",2022,"Texas","Symptoms of Anxiety Disorder",28.8
"Aug",2022,"Texas","Symptoms of Anxiety Disorder",32.3
"Dec",2022,"Texas","Symptoms of Anxiety Disorder",31.3
"Feb",2022,"Texas","Symptoms of Anxiety Disorder",28.3
"Jan",2022,"Texas","Symptoms of Anxiety Disorder",31
"Jul",2022,"Texas","Symptoms of Anxiety Disorder",32.4
"Jun",2022,"Texas","Symptoms of Anxiety Disorder",30.5
"Mar",2022,"Texas","Symptoms of Anxiety Disorder",29.5
"May",2022,"Texas","Symptoms of Anxiety Disorder",30
"Nov",2022,"Texas","Symptoms of Anxiety Disorder",34.3
"Oct",2022,"Texas","Symptoms of Anxiety Disorder",35.6
"Sep",2022,"Texas","Symptoms of Anxiety Disorder",31.9
"Aug",2020,"Utah","Symptoms of Anxiety Disorder",30.4
"Dec",2020,"Utah","Symptoms of Anxiety Disorder",35.95
"Jul",2020,"Utah","Symptoms of Anxiety Disorder",31.0666666666667
"Jun",2020,"Utah","Symptoms of Anxiety Disorder",31.2
"May",2020,"Utah","Symptoms of Anxiety Disorder",26.625
"Nov",2020,"Utah","Symptoms of Anxiety Disorder",35.5
"Oct",2020,"Utah","Symptoms of Anxiety Disorder",30.1
"Sep",2020,"Utah","Symptoms of Anxiety Disorder",31.55
"Apr",2021,"Utah","Symptoms of Anxiety Disorder",20.2
"Aug",2021,"Utah","Symptoms of Anxiety Disorder",28.9
"Dec",2021,"Utah","Symptoms of Anxiety Disorder",28
"Feb",2021,"Utah","Symptoms of Anxiety Disorder",35.75
"Jan",2021,"Utah","Symptoms of Anxiety Disorder",38.5
"Jul",2021,"Utah","Symptoms of Anxiety Disorder",24.5
"Jun",2021,"Utah","Symptoms of Anxiety Disorder",25.85
"Mar",2021,"Utah","Symptoms of Anxiety Disorder",28.4333333333333
"May",2021,"Utah","Symptoms of Anxiety Disorder",24.35
"Oct",2021,"Utah","Symptoms of Anxiety Disorder",26.5
"Sep",2021,"Utah","Symptoms of Anxiety Disorder",28.4
"Apr",2022,"Utah","Symptoms of Anxiety Disorder",27.4
"Aug",2022,"Utah","Symptoms of Anxiety Disorder",28.3
"Dec",2022,"Utah","Symptoms of Anxiety Disorder",29.2
"Feb",2022,"Utah","Symptoms of Anxiety Disorder",24.2
"Jan",2022,"Utah","Symptoms of Anxiety Disorder",30.4
"Jul",2022,"Utah","Symptoms of Anxiety Disorder",32.1
"Jun",2022,"Utah","Symptoms of Anxiety Disorder",30.9
"Mar",2022,"Utah","Symptoms of Anxiety Disorder",27.7
"May",2022,"Utah","Symptoms of Anxiety Disorder",31.9
"Nov",2022,"Utah","Symptoms of Anxiety Disorder",29.8
"Oct",2022,"Utah","Symptoms of Anxiety Disorder",32.3
"Sep",2022,"Utah","Symptoms of Anxiety Disorder",32.9
"Aug",2020,"Vermont","Symptoms of Anxiety Disorder",28
"Dec",2020,"Vermont","Symptoms of Anxiety Disorder",37.9
"Jul",2020,"Vermont","Symptoms of Anxiety Disorder",30.6
"Jun",2020,"Vermont","Symptoms of Anxiety Disorder",29.86
"May",2020,"Vermont","Symptoms of Anxiety Disorder",27.875
"Nov",2020,"Vermont","Symptoms of Anxiety Disorder",36.75
"Oct",2020,"Vermont","Symptoms of Anxiety Disorder",35.1
"Sep",2020,"Vermont","Symptoms of Anxiety Disorder",31.6
"Apr",2021,"Vermont","Symptoms of Anxiety Disorder",26
"Aug",2021,"Vermont","Symptoms of Anxiety Disorder",24.8666666666667
"Dec",2021,"Vermont","Symptoms of Anxiety Disorder",28.1
"Feb",2021,"Vermont","Symptoms of Anxiety Disorder",34.2
"Jan",2021,"Vermont","Symptoms of Anxiety Disorder",30.6
"Jul",2021,"Vermont","Symptoms of Anxiety Disorder",23.6
"Jun",2021,"Vermont","Symptoms of Anxiety Disorder",22
"Mar",2021,"Vermont","Symptoms of Anxiety Disorder",29.2
"May",2021,"Vermont","Symptoms of Anxiety Disorder",24.6
"Oct",2021,"Vermont","Symptoms of Anxiety Disorder",27.6
"Sep",2021,"Vermont","Symptoms of Anxiety Disorder",25.25
"Apr",2022,"Vermont","Symptoms of Anxiety Disorder",25.9
"Aug",2022,"Vermont","Symptoms of Anxiety Disorder",28.3
"Dec",2022,"Vermont","Symptoms of Anxiety Disorder",24.3
"Feb",2022,"Vermont","Symptoms of Anxiety Disorder",29.3
"Jan",2022,"Vermont","Symptoms of Anxiety Disorder",30.7
"Jul",2022,"Vermont","Symptoms of Anxiety Disorder",23.7
"Jun",2022,"Vermont","Symptoms of Anxiety Disorder",25.4
"Mar",2022,"Vermont","Symptoms of Anxiety Disorder",26.6
"May",2022,"Vermont","Symptoms of Anxiety Disorder",22.6
"Nov",2022,"Vermont","Symptoms of Anxiety Disorder",32.7
"Oct",2022,"Vermont","Symptoms of Anxiety Disorder",25.3
"Sep",2022,"Vermont","Symptoms of Anxiety Disorder",27.7
"Aug",2020,"Virginia","Symptoms of Anxiety Disorder",30.5
"Dec",2020,"Virginia","Symptoms of Anxiety Disorder",34.7
"Jul",2020,"Virginia","Symptoms of Anxiety Disorder",32.1
"Jun",2020,"Virginia","Symptoms of Anxiety Disorder",29.82
"May",2020,"Virginia","Symptoms of Anxiety Disorder",27.7
"Nov",2020,"Virginia","Symptoms of Anxiety Disorder",32.4
"Oct",2020,"Virginia","Symptoms of Anxiety Disorder",29.35
"Sep",2020,"Virginia","Symptoms of Anxiety Disorder",30.1
"Apr",2021,"Virginia","Symptoms of Anxiety Disorder",22.3
"Aug",2021,"Virginia","Symptoms of Anxiety Disorder",25.3333333333333
"Dec",2021,"Virginia","Symptoms of Anxiety Disorder",28.7
"Feb",2021,"Virginia","Symptoms of Anxiety Disorder",33
"Jan",2021,"Virginia","Symptoms of Anxiety Disorder",37.1
"Jul",2021,"Virginia","Symptoms of Anxiety Disorder",22.5
"Jun",2021,"Virginia","Symptoms of Anxiety Disorder",23.95
"Mar",2021,"Virginia","Symptoms of Anxiety Disorder",28.9333333333333
"May",2021,"Virginia","Symptoms of Anxiety Disorder",26.1
"Oct",2021,"Virginia","Symptoms of Anxiety Disorder",23.6
"Sep",2021,"Virginia","Symptoms of Anxiety Disorder",26.1
"Apr",2022,"Virginia","Symptoms of Anxiety Disorder",25.7
"Aug",2022,"Virginia","Symptoms of Anxiety Disorder",29.5
"Dec",2022,"Virginia","Symptoms of Anxiety Disorder",29.3
"Feb",2022,"Virginia","Symptoms of Anxiety Disorder",26.4
"Jan",2022,"Virginia","Symptoms of Anxiety Disorder",31.7
"Jul",2022,"Virginia","Symptoms of Anxiety Disorder",26.5
"Jun",2022,"Virginia","Symptoms of Anxiety Disorder",26.2
"Mar",2022,"Virginia","Symptoms of Anxiety Disorder",26.3
"May",2022,"Virginia","Symptoms of Anxiety Disorder",25.7
"Nov",2022,"Virginia","Symptoms of Anxiety Disorder",28.5
"Oct",2022,"Virginia","Symptoms of Anxiety Disorder",30
"Sep",2022,"Virginia","Symptoms of Anxiety Disorder",30.7
"Aug",2020,"Washington","Symptoms of Anxiety Disorder",32.7
"Dec",2020,"Washington","Symptoms of Anxiety Disorder",37.15
"Jul",2020,"Washington","Symptoms of Anxiety Disorder",36.7666666666667
"Jun",2020,"Washington","Symptoms of Anxiety Disorder",31.58
"May",2020,"Washington","Symptoms of Anxiety Disorder",28.7
"Nov",2020,"Washington","Symptoms of Anxiety Disorder",35.5
"Oct",2020,"Washington","Symptoms of Anxiety Disorder",35.2
"Sep",2020,"Washington","Symptoms of Anxiety Disorder",32.7
"Apr",2021,"Washington","Symptoms of Anxiety Disorder",25.2
"Aug",2021,"Washington","Symptoms of Anxiety Disorder",29.2
"Dec",2021,"Washington","Symptoms of Anxiety Disorder",30.1
"Feb",2021,"Washington","Symptoms of Anxiety Disorder",38.7
"Jan",2021,"Washington","Symptoms of Anxiety Disorder",37.9
"Jul",2021,"Washington","Symptoms of Anxiety Disorder",23.9
"Jun",2021,"Washington","Symptoms of Anxiety Disorder",26.3
"Mar",2021,"Washington","Symptoms of Anxiety Disorder",32.1333333333333
"May",2021,"Washington","Symptoms of Anxiety Disorder",27.65
"Oct",2021,"Washington","Symptoms of Anxiety Disorder",28.2
"Sep",2021,"Washington","Symptoms of Anxiety Disorder",29.8
"Apr",2022,"Washington","Symptoms of Anxiety Disorder",25.3
"Aug",2022,"Washington","Symptoms of Anxiety Disorder",25.9
"Dec",2022,"Washington","Symptoms of Anxiety Disorder",25.3
"Feb",2022,"Washington","Symptoms of Anxiety Disorder",27.6
"Jan",2022,"Washington","Symptoms of Anxiety Disorder",28.1
"Jul",2022,"Washington","Symptoms of Anxiety Disorder",24.7
"Jun",2022,"Washington","Symptoms of Anxiety Disorder",26.1
"Mar",2022,"Washington","Symptoms of Anxiety Disorder",30.7
"May",2022,"Washington","Symptoms of Anxiety Disorder",29.8
"Nov",2022,"Washington","Symptoms of Anxiety Disorder",28.8
"Oct",2022,"Washington","Symptoms of Anxiety Disorder",30.8
"Sep",2022,"Washington","Symptoms of Anxiety Disorder",31.3
"Aug",2020,"West Virginia","Symptoms of Anxiety Disorder",29
"Dec",2020,"West Virginia","Symptoms of Anxiety Disorder",40.05
"Jul",2020,"West Virginia","Symptoms of Anxiety Disorder",33.0333333333333
"Jun",2020,"West Virginia","Symptoms of Anxiety Disorder",34.26
"May",2020,"West Virginia","Symptoms of Anxiety Disorder",31.8
"Nov",2020,"West Virginia","Symptoms of Anxiety Disorder",36.15
"Oct",2020,"West Virginia","Symptoms of Anxiety Disorder",34.5
"Sep",2020,"West Virginia","Symptoms of Anxiety Disorder",34.95
"Apr",2021,"West Virginia","Symptoms of Anxiety Disorder",35.6
"Aug",2021,"West Virginia","Symptoms of Anxiety Disorder",30.6666666666667
"Dec",2021,"West Virginia","Symptoms of Anxiety Disorder",36.5
"Feb",2021,"West Virginia","Symptoms of Anxiety Disorder",35.95
"Jan",2021,"West Virginia","Symptoms of Anxiety Disorder",41.6
"Jul",2021,"West Virginia","Symptoms of Anxiety Disorder",29.6
"Jun",2021,"West Virginia","Symptoms of Anxiety Disorder",30.3
"Mar",2021,"West Virginia","Symptoms of Anxiety Disorder",36.8666666666667
